DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam145,2,2,2,2,2,2,2,2,2,2
fam146,3,2,2,2,2,2,2,2,2,1
fam147,2,3,2,2,2,1,1,1,3,3
fam148,2,2,2,2,2,2,2,2,2,2
fam149,2,2,1,0,0,3,3,0,2,0
fam150,3,5,3,1,1,1,1,1,4,0
fam151,2,2,2,2,2,2,2,2,3,3
fam152,2,2,2,2,2,2,2,2,1,1
fam153,2,2,2,3,2,2,2,2,2,3
fam154,3,1,3,2,1,1,1,0,2,2
fam155,2,3,2,2,2,1,2,2,3,1
fam156,2,2,2,2,1,2,2,2,2,2
fam157,2,2,2,2,2,2,2,2,2,2
fam158,2,2,2,2,2,2,2,2,2,2
fam160,2,2,2,2,2,2,2,2,2,2
fam161,2,1,2,2,2,2,1,2,2,3
fam162,2,2,2,1,0,1,2,0,3,2
fam163,4,4,3,3,1,2,2,2,3,2
fam164,2,3,2,3,2,2,2,2,2,2
fam165,2,2,2,2,2,2,2,2,2,2
fam166,2,2,2,1,2,2,2,2,2,2
fam167,3,1,2,1,0,1,1,1,2,2
fam168,1,2,2,0,0,1,1,1,3,2
fam169,2,2,2,2,2,2,2,2,2,2
fam170,2,7,4,4,0,0,2,0,0,0
fam171,2,2,3,2,2,2,2,2,2,2
fam172,2,2,2,2,2,2,2,2,2,2
fam173,2,2,2,2,2,2,2,2,2,2
fam174,2,2,2,1,2,2,2,2,2,6
fam175,2,2,2,2,2,2,2,2,2,2
fam176,2,2,2,2,2,2,2,2,2,2
fam177,3,3,2,1,1,2,2,1,5,0
fam178,2,2,2,2,2,2,2,2,2,2
fam179,2,2,2,2,2,2,2,2,2,2
fam180,2,2,2,2,2,2,2,2,2,2
fam181,2,2,2,2,2,2,2,2,2,2
fam182,2,2,2,2,2,2,2,2,2,1
fam183,2,2,2,2,2,2,2,2,2,2
fam184,2,2,2,2,2,2,2,2,2,2
fam185,2,2,2,2,2,2,2,2,1,1
fam186,2,2,2,2,2,2,2,2,2,2
fam187,2,1,2,2,2,2,2,2,2,2
fam188,2,2,2,2,2,2,2,3,1,1
fam189,2,2,2,2,2,2,2,2,2,2
fam190,2,1,2,2,2,2,2,2,2,2
fam191,1,2,2,2,1,1,1,1,2,4
fam192,1,1,1,3,2,2,2,2,1,4
fam193,2,2,2,2,2,2,2,2,1,1
fam194,2,2,2,2,2,2,2,2,2,2
fam195,2,2,2,2,2,2,2,2,2,2
fam196,2,2,2,2,2,2,2,2,2,2
fam197,2,2,2,2,2,2,2,2,1,1
fam198,2,2,2,2,2,2,2,2,2,2
fam199,2,2,2,2,2,2,2,2,2,2
fam200,2,2,2,2,2,2,2,2,2,2
fam201,2,2,2,2,2,2,2,2,2,2
fam202,2,2,2,2,2,2,2,2,2,2
fam203,1,2,2,3,1,2,3,3,1,1
fam204,2,2,2,2,2,2,2,2,2,1
fam205,2,2,2,2,2,2,2,2,2,2
fam206,3,2,3,2,1,1,1,1,2,2
fam207,2,2,2,2,2,2,2,2,2,2
fam208,2,2,2,2,2,1,2,2,2,2
fam209,2,2,2,2,2,2,2,2,2,2
fam210,2,2,2,2,1,2,2,2,2,2
fam211,2,2,2,2,2,2,2,2,2,2
fam212,2,2,2,2,2,2,2,2,2,2
fam213,1,4,2,1,3,2,1,0,4,6
fam214,2,2,2,2,2,2,2,2,2,2
fam215,2,2,2,2,2,2,1,1,2,2
fam216,2,2,2,2,2,2,2,2,2,2
fam217,2,2,2,1,2,2,2,2,2,2
fam218,2,2,2,2,2,2,2,2,2,2
fam219,2,2,2,2,2,2,2,2,2,2
fam220,2,2,2,2,2,2,2,2,2,2
fam221,2,2,2,2,2,2,2,2,1,1
fam222,2,2,2,2,2,2,2,2,2,2
fam223,2,2,2,2,2,2,2,2,1,1
fam224,2,2,2,2,2,2,2,2,2,2
fam225,2,2,2,2,2,2,2,2,2,2
