DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam2158,1,1,1,1,1,1,1,1,1,1
fam2159,1,1,1,0,1,1,1,1,1,1
fam2160,1,1,1,1,1,1,1,1,1,1
fam2161,1,1,1,1,1,1,1,1,1,0
fam2162,1,1,1,1,1,1,1,1,1,1
fam2163,1,1,1,1,1,1,1,1,1,1
fam2164,1,1,1,1,1,1,1,1,1,1
fam2165,1,1,1,1,1,1,1,1,1,1
fam2166,1,1,1,1,1,1,1,1,1,1
fam2167,1,1,1,1,1,1,1,1,1,0
fam2168,1,1,1,1,1,1,1,1,1,1
fam2169,1,1,1,1,1,1,1,1,1,1
fam2170,1,1,1,1,1,1,1,1,1,1
fam2171,1,1,1,1,1,1,1,1,1,1
fam2172,1,1,1,1,1,1,1,1,1,1
fam2173,1,1,1,1,1,1,1,1,1,1
fam2174,1,1,1,1,1,1,1,1,1,1
fam2175,1,1,1,1,1,1,1,1,1,1
fam2176,1,1,1,1,1,1,1,1,1,1
fam2177,1,1,1,1,1,1,1,1,1,1
fam2178,1,1,1,1,1,1,1,1,1,1
fam2179,1,1,1,1,1,1,1,1,1,1
fam2180,1,1,1,1,1,1,0,1,1,1
fam2181,1,1,1,1,1,1,1,1,1,1
fam2182,1,1,1,1,1,1,1,1,1,1
fam2183,1,1,1,1,1,1,1,1,1,1
fam2184,1,1,1,1,1,1,1,1,1,1
fam2185,1,1,1,1,1,1,1,1,1,1
fam2186,1,1,1,1,1,1,1,1,1,1
fam2187,1,1,1,0,1,1,1,1,1,1
fam2188,1,1,1,0,1,1,1,1,1,1
fam2189,1,1,1,1,1,1,1,1,1,1
fam2190,1,1,1,1,1,1,1,1,1,1
fam2191,1,1,1,1,1,1,1,1,1,1
fam2192,1,1,1,1,1,1,1,1,1,1
fam2193,1,1,1,1,1,1,1,1,1,1
fam2194,1,1,1,1,1,1,1,1,1,1
fam2195,1,1,1,1,1,1,1,0,1,1
fam2196,1,1,1,1,1,1,1,1,1,1
fam2197,1,1,1,1,1,1,1,1,1,1
fam2198,1,1,1,1,1,1,1,1,1,1
fam2199,1,1,1,1,1,1,1,1,1,1
fam2200,1,1,1,1,1,1,1,1,1,1
fam2201,1,1,1,1,1,1,1,1,1,1
fam2202,1,1,1,1,1,1,1,1,1,1
fam2203,1,1,1,1,1,1,1,1,1,1
fam2204,1,1,1,1,1,1,1,1,1,1
fam2205,1,1,1,1,1,1,1,1,1,1
fam2206,1,1,1,1,1,1,1,1,1,1
fam2207,1,1,1,1,1,1,1,1,1,0
fam2208,1,1,1,1,1,1,1,1,1,1
fam2209,1,1,1,1,0,1,1,1,1,1
fam2210,1,1,1,1,1,2,1,1,1,1
fam2211,1,1,1,1,1,1,1,1,1,1
fam2212,1,1,1,1,1,1,1,1,1,1
fam2213,1,1,1,1,1,1,1,1,1,1
fam2214,1,1,1,1,1,1,1,1,1,1
fam2215,0,1,1,1,1,1,1,1,1,1
fam2216,1,1,1,1,1,1,1,1,1,1
fam2217,1,1,1,1,1,1,1,1,1,1
fam2218,1,1,1,1,1,1,1,1,1,1
fam2219,1,1,1,1,1,1,1,1,1,1
fam2220,1,1,1,1,1,1,1,1,1,1
fam2221,1,1,1,1,1,1,1,1,1,1
fam2222,1,1,1,1,1,1,1,1,1,1
fam2223,1,1,1,1,1,1,1,1,1,1
fam2224,1,1,1,1,1,1,1,1,1,1
fam2225,1,1,1,1,1,1,1,1,1,1
fam2226,1,1,1,1,1,1,1,1,1,1
fam2227,0,1,1,1,1,1,1,1,1,1
fam2228,1,1,1,1,1,1,1,1,1,1
fam2229,1,1,1,1,1,1,1,1,1,1
fam2230,1,1,1,1,1,1,1,1,1,1
fam2231,1,1,1,1,1,1,1,1,1,1
fam2232,1,1,1,1,1,1,1,1,1,1
fam2233,1,1,1,1,1,1,1,1,1,1
fam2234,1,1,1,1,1,1,1,1,1,1
fam2235,1,1,1,1,1,1,1,1,1,1
fam2236,1,1,1,1,1,1,1,1,1,1
fam2237,2,6,1,0,0,0,0,0,2,0
fam2238,1,1,1,1,1,1,1,1,1,1
fam2239,1,1,1,1,1,1,1,1,1,1
fam2240,2,1,1,0,1,2,1,1,2,1
fam2241,1,1,1,1,1,1,1,1,1,1
fam2242,1,1,1,1,1,1,1,1,1,1
fam2243,1,1,1,1,1,1,1,1,1,1
fam2244,1,1,1,1,1,1,1,1,1,1
fam2245,1,1,1,1,1,1,1,1,1,1
fam2246,1,1,1,1,1,1,1,1,1,1
fam2247,1,1,1,1,1,1,1,1,1,1
fam2248,1,1,1,1,1,1,1,1,1,1
fam2249,1,1,1,1,1,1,1,1,1,3
fam2250,1,1,1,1,1,1,1,1,1,1
fam2251,1,1,1,1,1,1,1,1,1,1
fam2252,1,1,1,1,1,1,1,1,1,1
fam2253,1,1,1,1,1,1,1,1,1,1
fam2254,1,1,1,1,1,1,1,1,1,1
fam2255,1,1,1,1,1,1,1,1,1,0
fam2256,1,1,1,1,1,1,1,1,1,1
fam2257,1,1,1,1,1,1,1,1,1,1
fam2258,1,1,1,0,1,1,1,1,1,1
fam2259,1,1,1,0,1,1,1,1,1,1
fam2260,1,1,1,1,1,1,1,1,1,1
fam2261,1,1,1,1,1,1,1,1,1,1
fam2262,1,1,1,1,1,1,1,1,1,1
fam2263,1,1,1,1,1,1,1,1,1,1
fam2264,1,1,1,1,1,1,1,1,1,1
fam2265,1,1,1,1,1,1,1,1,1,1
fam2266,1,1,1,1,1,1,1,1,1,1
fam2267,1,1,1,1,1,1,1,1,1,1
fam2268,1,1,1,1,1,1,1,1,1,1
fam2269,1,1,0,1,1,1,1,1,1,1
fam2270,1,1,1,1,1,1,1,1,1,1
fam2271,1,1,1,1,1,1,1,1,1,1
fam2272,1,1,1,1,1,1,1,1,1,1
fam2273,1,1,1,1,1,1,1,1,1,1
fam2274,1,1,1,1,1,1,1,1,1,1
fam2275,1,1,1,1,1,1,1,1,1,1
fam2276,1,1,1,1,1,1,1,1,1,1
fam2277,1,1,1,1,1,1,1,1,1,1
fam2278,1,1,1,1,1,1,1,1,1,1
fam2279,1,1,1,1,1,1,1,1,1,1
fam2280,1,1,1,1,1,1,1,1,1,1
fam2281,1,1,1,1,1,1,1,1,1,1
fam2282,1,1,1,1,1,1,1,1,1,1
fam2283,1,1,0,1,1,1,1,1,1,1
fam2284,1,1,1,1,1,1,1,1,1,1
fam2285,1,1,1,1,1,1,1,1,1,1
fam2286,1,1,1,1,1,1,1,1,1,1
fam2287,1,1,1,1,1,1,1,1,1,1
fam2288,1,1,1,1,1,1,1,1,1,1
fam2289,1,1,1,1,1,1,1,1,1,1
fam2290,1,1,1,1,1,1,1,1,1,1
fam2291,1,1,1,1,1,1,1,1,1,1
fam2292,1,1,1,1,1,1,1,1,1,1
fam2293,1,1,1,1,1,1,1,1,1,1
fam2294,1,1,1,1,1,1,1,1,1,1
fam2295,1,1,0,1,1,1,1,1,1,1
fam2296,1,1,1,1,1,1,1,1,1,1
fam2297,1,1,1,1,1,1,1,1,1,1
fam2298,1,1,1,1,1,1,1,1,1,1
fam2299,1,1,1,1,1,1,1,1,1,1
fam2300,1,1,1,1,1,1,1,1,1,1
fam2301,1,1,1,1,1,1,1,1,1,0
fam2302,1,1,1,1,1,1,1,1,1,1
fam2303,1,1,1,1,1,1,1,1,1,1
fam2304,1,1,1,1,1,1,1,1,1,1
fam2305,1,1,1,1,1,1,1,1,1,1
fam2306,1,1,1,1,1,1,1,1,1,1
fam2307,1,1,1,1,1,1,1,1,1,1
fam2308,1,1,1,0,1,1,1,1,1,1
fam2309,1,2,1,1,1,1,1,1,1,1
fam2310,1,1,1,1,1,1,1,1,1,1
fam2311,1,1,1,1,1,1,1,1,1,1
fam2312,1,1,1,1,1,1,1,1,1,1
fam2313,1,1,1,1,1,1,1,1,1,1
fam2314,1,1,1,1,1,1,1,1,1,1
fam2315,1,1,1,1,1,1,1,1,1,1
fam2316,1,1,1,1,1,1,1,1,1,1
fam2317,1,0,1,1,1,1,1,1,1,1
fam2318,1,1,1,1,1,1,1,1,1,1
fam2319,1,1,1,1,1,1,1,1,1,1
fam2320,1,1,1,1,1,1,1,1,1,1
fam2321,1,1,1,1,1,1,1,1,1,1
fam2322,1,1,1,1,1,1,1,1,1,1
fam2323,1,1,1,1,1,1,1,1,1,1
fam2324,1,1,1,1,1,1,1,1,1,1
fam2325,1,1,1,1,1,1,1,1,1,1
fam2326,1,1,1,1,1,1,1,1,1,1
fam2327,1,1,1,1,1,1,1,1,1,1
fam2328,1,1,1,1,1,1,1,1,1,1
fam2329,1,1,1,1,1,1,1,1,1,1
fam2330,1,1,1,1,1,1,1,1,1,1
fam2331,1,1,1,1,1,1,1,1,1,1
fam2332,1,1,1,1,1,1,1,1,1,1
fam2333,1,1,1,1,1,1,1,1,1,1
fam2334,1,1,1,1,1,1,1,1,1,1
fam2335,1,1,1,1,1,1,1,1,1,1
fam2336,1,1,1,1,1,1,1,1,1,1
fam2337,1,1,1,1,1,1,1,1,1,1
fam2338,1,1,1,1,1,1,1,1,1,1
fam2339,1,1,1,1,1,1,1,1,1,1
fam2340,4,5,6,0,0,0,0,0,0,0
fam2341,1,1,1,1,1,1,1,1,1,1
fam2342,1,1,1,0,1,1,1,1,1,1
fam2343,1,1,1,1,1,1,1,1,1,1
fam2344,1,1,1,1,1,1,1,1,1,1
fam2345,1,1,1,1,1,1,1,1,1,1
fam2346,1,1,1,1,1,1,1,1,1,1
fam2347,1,1,1,1,1,1,1,1,1,1
fam2348,1,1,1,1,1,1,1,1,1,1
fam2349,1,1,1,1,1,1,1,1,1,1
fam2350,1,1,1,1,1,1,1,1,1,1
fam2351,1,1,1,1,1,1,0,1,1,1
fam2352,1,1,1,1,1,1,1,1,1,1
fam2353,1,1,1,1,1,1,1,1,1,1
fam2354,1,1,1,1,1,1,1,1,1,1
fam2355,1,1,1,1,0,1,1,1,1,1
fam2356,1,1,1,1,1,1,1,1,1,1
fam2357,1,1,1,1,1,1,1,1,1,1
fam2358,1,1,1,1,1,1,1,1,1,1
fam2359,1,1,1,1,1,1,1,1,1,1
fam2360,1,1,1,1,1,1,1,1,1,1
fam2361,1,1,1,1,1,1,1,1,1,1
fam2362,1,1,1,1,1,1,1,1,1,1
fam2363,1,1,1,1,1,1,1,1,1,1
fam2364,1,1,1,1,1,1,1,1,1,1
fam2365,1,1,1,1,1,1,1,1,1,1
fam2366,1,1,1,1,1,1,1,1,1,1
fam2367,1,1,1,1,1,1,1,1,1,1
fam2368,1,1,1,1,1,1,1,1,1,1
fam2369,1,1,2,1,1,1,1,1,1,1
fam2370,1,1,1,1,1,1,1,1,1,1
fam2371,1,1,1,0,1,1,1,1,1,1
fam2372,1,1,1,1,1,1,1,1,1,1
fam2373,1,1,1,1,1,0,1,1,1,1
fam2374,0,3,0,1,1,1,1,1,3,0
fam2375,1,1,1,1,1,1,1,1,1,1
fam2376,1,1,1,1,1,1,1,1,1,1
fam2377,1,1,1,0,1,1,1,1,1,1
fam2378,1,1,1,1,1,1,1,1,1,1
fam2379,1,1,1,0,1,1,1,1,1,1
fam2380,1,1,1,1,1,1,1,1,1,1
fam2381,1,1,1,1,1,1,1,1,1,1
fam2382,1,1,1,1,1,1,1,1,1,1
fam2383,1,1,1,1,1,1,1,1,1,1
fam2384,1,1,1,1,1,1,1,1,1,1
fam2385,1,1,1,1,1,1,1,1,1,1
fam2386,1,5,1,1,0,0,0,0,1,2
fam2387,1,1,1,1,1,1,1,1,1,1
fam2388,1,1,1,1,0,1,1,1,1,1
fam2389,1,1,1,1,1,1,1,1,1,1
fam2390,1,1,1,1,1,1,1,1,2,1
fam2391,1,1,1,1,1,1,1,1,1,1
fam2392,1,1,1,1,1,1,1,1,1,1
fam2393,1,1,1,1,1,1,1,1,1,1
fam2394,1,1,1,0,1,1,1,1,1,1
fam2395,1,1,1,1,1,1,1,1,1,1
fam2396,1,1,1,0,1,1,1,1,1,1
fam2397,1,1,1,1,1,1,1,1,1,1
fam2398,1,1,1,1,1,1,1,1,1,1
fam2399,1,1,1,1,1,1,1,1,1,1
fam2400,1,1,1,1,1,1,1,1,1,1
fam2401,1,1,0,1,1,1,1,1,1,1
fam2402,1,1,1,1,1,1,1,1,1,1
fam2403,1,1,0,1,1,1,1,1,1,1
fam2404,1,1,1,1,1,1,1,1,1,1
fam2405,1,1,1,1,1,1,1,1,1,1
fam2406,1,1,1,1,1,1,1,1,1,1
fam2407,1,1,1,1,3,1,1,1,1,0
fam2408,1,1,1,1,1,1,1,1,1,1
fam2409,1,1,1,1,1,1,1,1,1,1
fam2410,1,1,1,1,1,1,1,1,1,1
fam2411,1,1,1,1,1,1,1,1,1,1
fam2412,0,1,1,1,1,1,1,1,1,1
fam2413,1,1,1,1,1,1,1,1,1,1
fam2414,1,1,1,1,0,0,0,0,2,1
fam2415,1,1,1,1,1,1,1,1,1,1
fam2416,1,1,1,1,1,1,1,1,1,1
fam2417,1,1,1,1,1,1,1,1,1,1
fam2418,1,1,1,1,1,1,1,1,1,1
fam2419,1,1,1,0,1,1,1,1,1,1
fam2420,1,1,1,1,1,1,0,0,1,1
fam2421,1,1,1,1,1,1,1,1,1,1
fam2422,1,1,1,1,1,1,1,1,1,1
fam2423,1,1,1,1,1,1,1,1,1,1
fam2424,1,1,1,1,1,1,1,1,1,1
fam2425,1,1,0,1,1,1,1,1,1,1
fam2426,1,1,1,1,1,1,1,1,1,1
fam2427,1,1,1,1,1,1,1,1,1,1
fam2428,1,1,1,1,1,1,1,1,1,1
fam2429,1,1,1,1,1,1,1,1,1,1
fam2430,1,1,1,1,1,1,1,1,1,1
fam2431,1,1,1,1,1,1,1,1,1,1
fam2432,1,1,1,1,1,1,1,1,1,1
fam2433,1,1,1,1,1,1,1,1,1,0
fam2434,1,1,1,1,1,1,1,1,1,1
fam2435,1,1,1,1,1,1,1,1,2,1
fam2436,1,1,1,1,1,1,1,1,1,1
fam2437,1,1,1,1,1,1,1,1,1,1
fam2438,1,1,1,1,1,1,1,1,1,1
fam2439,1,1,1,1,1,1,1,1,1,1
fam2440,1,1,1,1,1,1,1,1,1,1
fam2441,1,1,1,1,1,1,1,1,1,1
fam2442,1,1,1,1,1,1,1,1,1,1
fam2443,1,1,1,0,1,1,1,1,1,1
fam2444,1,1,1,1,1,1,1,1,1,1
fam2445,0,1,1,1,1,1,1,1,1,1
fam2446,1,1,1,1,1,1,1,1,1,1
fam2447,1,1,1,1,1,1,1,1,1,1
fam2448,1,1,1,1,1,1,1,1,1,1
fam2449,1,1,1,1,1,1,1,1,1,1
fam2450,0,1,1,1,1,1,1,1,1,1
fam2451,1,1,1,1,1,1,1,1,1,1
fam2452,1,1,1,1,1,1,1,1,1,1
fam2453,1,1,1,1,1,1,1,1,1,1
fam2454,1,1,1,1,1,1,1,1,1,1
fam2455,1,1,1,1,1,1,1,1,1,0
fam2456,1,1,1,1,1,1,1,1,1,1
fam2457,1,1,1,1,1,1,1,1,1,1
fam2458,1,1,1,1,1,1,1,1,1,1
fam2459,1,1,1,1,1,1,1,1,1,1
fam2460,0,1,1,1,1,1,1,1,1,1
fam2461,1,1,1,1,1,1,1,1,1,1
fam2462,1,1,1,2,1,1,0,0,1,1
fam2463,1,1,1,1,1,1,1,1,1,1
fam2464,1,1,1,1,1,1,1,1,1,1
fam2465,1,1,1,1,1,1,1,1,1,1
fam2466,1,1,1,1,1,1,1,1,1,1
fam2467,1,1,1,1,1,0,1,1,1,1
fam2468,1,1,1,1,1,1,1,1,1,1
fam2469,1,1,1,1,1,1,1,1,1,1
fam2470,1,1,1,1,1,1,1,1,1,1
fam2471,1,1,1,1,1,1,1,1,1,1
fam2472,1,1,1,1,1,0,1,1,1,1
fam2473,1,1,0,1,1,1,1,1,1,1
fam2474,1,1,1,0,1,1,1,1,1,1
fam2475,1,1,0,1,1,1,1,1,1,1
fam2476,1,1,1,1,1,0,1,1,1,2
fam2477,1,1,1,1,0,1,1,1,1,1
fam2478,1,1,1,1,1,1,1,1,1,1
fam2479,1,1,1,1,1,1,1,1,1,1
fam2480,1,1,1,1,1,1,1,1,1,1
fam2481,1,1,1,1,1,1,1,1,1,1
fam2482,1,1,1,1,1,1,1,1,1,1
fam2483,0,1,1,1,1,1,1,1,1,1
fam2484,1,1,1,1,0,1,1,1,1,1
fam2485,1,1,1,1,1,1,1,1,1,1
fam2486,1,1,1,1,1,1,1,1,1,1
fam2487,1,1,1,1,1,1,1,1,1,1
fam2488,1,1,1,1,1,1,1,1,1,1
fam2489,1,1,1,1,1,1,1,1,1,1
fam2490,1,1,1,0,0,1,1,1,1,1
fam2491,1,1,1,1,1,1,1,1,1,1
fam2492,1,1,1,1,1,1,1,1,1,1
fam2493,1,1,1,1,1,1,1,1,1,1
fam2494,1,1,1,1,0,1,1,1,1,1
fam2495,0,1,1,0,1,1,1,1,1,1
fam2496,1,1,1,1,0,0,1,0,1,1
fam2497,1,1,1,1,1,1,1,1,1,1
fam2498,1,1,1,1,1,1,1,1,1,1
fam2499,1,1,1,1,1,1,1,1,1,1
fam2500,1,1,1,1,1,1,1,1,1,1
fam2501,1,1,2,1,1,1,1,1,1,1
fam2502,1,1,1,1,1,1,1,1,1,1
fam2503,1,1,1,1,1,1,1,1,1,1
fam2504,0,1,1,1,1,1,1,1,1,1
fam2505,1,1,1,1,1,1,1,1,1,1
fam2506,1,1,1,1,1,1,1,1,1,1
fam2507,1,1,1,1,1,1,1,1,1,1
fam2508,1,1,1,1,1,1,1,1,1,1
fam2509,1,1,1,1,1,1,1,1,1,1
fam2510,1,1,1,1,1,1,1,1,0,1
fam2511,1,1,1,1,1,1,1,1,0,1
fam2512,1,1,1,1,1,1,1,1,1,1
fam2513,1,1,1,1,1,1,1,1,1,1
fam2514,1,1,1,1,1,1,1,1,1,1
fam2515,1,1,1,1,1,1,1,1,1,1
fam2516,1,1,1,1,1,1,1,1,1,1
fam2517,1,1,1,1,1,1,1,1,1,1
fam2518,1,1,1,1,1,1,1,1,1,1
fam2519,1,1,1,1,1,1,1,1,1,1
fam2520,1,1,1,1,1,1,1,1,2,2
fam2521,1,1,1,1,1,1,1,1,1,1
fam2522,1,1,1,1,1,1,1,1,1,1
fam2523,1,1,1,1,1,1,1,1,1,1
fam2524,2,2,1,0,0,0,0,0,0,2
fam2525,1,1,1,1,1,1,1,1,1,1
fam2526,1,1,1,1,1,1,1,1,1,1
fam2527,1,1,1,1,1,1,0,0,1,1
fam2528,1,1,1,1,1,0,1,1,1,1
fam2529,1,1,1,1,1,1,1,1,0,0
fam2530,1,1,1,1,1,1,1,1,1,1
fam2531,1,1,1,1,1,2,1,1,2,1
fam2532,1,1,1,1,1,1,1,1,1,1
fam2533,2,2,3,1,0,0,0,0,0,0
fam2534,0,1,1,1,1,1,1,1,1,1
fam2535,1,1,1,1,1,2,0,0,1,1
fam2536,1,1,1,0,1,1,1,1,1,2
fam2537,1,1,1,1,1,1,1,1,1,1
fam2538,1,1,1,1,1,1,1,1,1,1
fam2539,1,1,1,1,1,1,1,1,1,1
fam2540,1,1,1,1,1,1,1,0,1,1
fam2541,1,1,1,1,1,1,1,1,1,1
fam2542,1,1,1,1,1,1,1,1,1,1
fam2543,1,2,1,1,0,1,1,1,2,1
fam2544,0,1,1,1,1,1,1,1,1,0
fam2545,1,2,1,2,1,1,1,1,0,0
fam2546,1,1,1,1,1,1,1,1,0,0
fam2547,1,1,1,1,1,1,1,1,1,1
fam2548,1,1,1,1,1,1,1,1,1,1
fam2549,1,1,1,1,1,1,1,1,1,1
fam2550,1,1,1,1,1,1,1,1,1,1
fam2551,1,1,1,0,1,1,1,1,1,1
fam2552,1,1,1,1,1,1,1,1,1,1
fam2553,1,1,1,1,1,1,1,1,1,1
fam2554,1,1,1,1,1,1,1,1,1,1
fam2555,1,1,1,1,1,1,1,1,1,1
fam2556,1,1,1,1,1,1,1,1,1,1
fam2557,1,1,1,1,1,1,1,1,1,1
fam2558,1,1,1,1,1,1,1,1,1,1
fam2559,1,1,1,1,1,1,1,1,1,1
fam2560,1,1,1,1,1,1,1,1,1,1
fam2561,1,1,1,1,1,1,1,1,1,1
fam2562,1,1,1,1,1,1,1,1,1,1
fam2563,1,1,1,1,1,1,1,1,1,1
fam2564,1,1,1,1,1,1,1,1,1,1
fam2565,1,1,1,1,1,0,1,1,1,1
fam2566,1,1,1,1,1,1,1,0,1,1
fam2567,1,1,1,1,1,1,1,1,1,1
fam2568,1,1,1,1,1,1,1,1,1,1
fam2569,1,1,1,1,1,1,1,1,1,1
fam2570,1,1,1,1,1,1,1,1,1,1
fam2571,1,1,1,1,1,1,1,1,1,1
fam2572,1,1,1,1,1,1,1,1,1,1
fam2573,1,1,1,1,1,1,1,1,1,1
fam2574,1,1,1,1,1,1,1,1,1,1
fam2575,1,1,1,1,1,1,1,1,1,1
fam2576,1,1,1,1,1,1,1,1,1,1
fam2577,1,1,1,1,1,1,1,1,1,1
fam2578,1,1,1,1,1,1,1,1,1,1
fam2579,1,1,1,1,1,1,1,1,1,1
fam2580,1,1,1,1,1,1,1,1,1,0
fam2581,1,1,1,0,1,1,1,1,1,1
fam2582,1,1,1,1,1,1,1,1,1,1
fam2583,1,1,1,0,1,1,1,1,1,1
fam2584,1,1,1,1,1,1,1,1,1,1
fam2585,1,1,1,1,1,1,1,1,1,1
fam2586,1,1,1,1,1,1,1,1,1,1
fam2587,1,1,1,1,1,1,1,1,1,1
fam2588,1,1,1,1,1,1,1,1,1,1
fam2589,1,1,0,1,1,1,1,1,1,1
fam2590,1,1,1,1,1,1,1,1,1,1
fam2591,1,1,1,1,1,1,1,1,1,1
fam2592,1,1,1,1,1,1,1,1,2,1
fam2593,1,1,1,1,1,1,1,1,1,1
fam2594,1,1,1,0,1,0,1,1,1,2
fam2595,1,1,1,1,1,1,1,1,1,1
fam2596,1,1,1,1,1,0,1,1,1,1
fam2597,1,1,0,1,1,1,1,1,1,1
fam2598,1,1,1,1,1,1,1,1,1,1
fam2599,1,1,1,1,1,1,1,1,1,1
fam2600,1,1,1,1,1,1,1,1,1,1
fam2601,1,1,1,1,1,1,1,1,1,1
fam2602,0,0,1,0,0,1,1,1,1,2
fam2603,1,1,1,1,1,1,1,1,1,1
fam2604,1,1,1,1,0,1,1,1,1,1
fam2605,1,1,1,1,1,1,1,1,1,1
fam2606,1,1,1,1,1,1,1,1,1,1
fam2607,1,1,1,1,1,1,1,1,1,1
fam2608,1,1,1,1,1,1,1,1,1,1
fam2609,1,1,1,2,0,0,0,0,1,0
fam2610,1,1,1,1,1,1,1,1,1,1
fam2611,1,1,1,1,1,1,1,1,1,1
fam2612,1,1,1,1,1,1,1,1,1,1
fam2613,1,1,1,1,1,1,1,1,1,1
fam2614,1,1,1,1,1,1,1,1,1,1
fam2615,1,1,1,1,1,1,1,1,1,1
fam2616,1,1,1,1,1,1,1,1,1,1
fam2617,1,1,0,1,1,1,1,1,1,1
fam2618,1,1,1,0,1,0,1,1,1,1
fam2619,1,1,1,1,1,1,1,1,1,1
fam2620,1,1,1,1,1,1,1,1,1,1
fam2621,1,1,1,1,1,1,1,1,1,1
fam2622,1,1,1,1,1,1,1,1,1,1
fam2623,1,1,1,1,1,1,1,1,1,1
fam2624,1,1,1,1,1,1,1,1,0,1
fam2625,1,1,1,1,1,1,1,1,1,1
fam2626,1,1,1,1,1,1,1,1,1,1
fam2627,1,1,1,1,0,1,1,1,1,1
fam2628,1,1,0,0,1,1,1,1,1,1
fam2629,1,1,1,1,1,1,1,1,1,1
fam2630,1,1,1,1,1,1,1,1,1,1
fam2631,1,1,1,1,1,1,1,1,1,2
fam2632,1,1,1,1,1,1,1,1,1,1
fam2633,1,1,1,1,1,1,1,1,1,1
fam2634,1,1,1,1,1,1,1,1,1,1
fam2635,1,1,1,1,1,1,1,1,1,1
fam2636,1,1,1,1,1,1,0,1,1,1
fam2637,1,1,1,1,1,1,1,1,1,1
fam2638,1,1,1,1,1,1,1,1,1,1
fam2639,0,1,1,1,1,1,1,1,1,1
fam2640,1,1,1,1,1,1,1,1,1,1
fam2641,1,1,1,1,1,1,1,0,1,1
fam2642,1,1,1,1,1,1,1,1,1,1
fam2643,1,1,1,1,1,1,1,1,0,2
fam2644,1,1,1,1,1,1,1,1,1,1
fam2645,1,1,1,1,1,1,1,1,1,1
fam2646,1,2,1,0,0,0,0,0,1,0
fam2647,1,1,0,1,1,1,1,1,1,2
fam2648,1,1,1,1,1,1,1,1,1,1
fam2649,1,1,1,1,1,1,1,1,1,1
fam2650,1,1,1,1,1,1,1,1,1,1
fam2651,1,1,1,1,1,1,1,1,1,1
fam2652,1,1,1,1,1,1,1,1,1,1
fam2653,0,1,0,1,1,1,1,1,1,1
fam2654,1,1,1,1,1,1,1,1,1,1
fam2655,1,1,1,1,1,1,1,1,1,0
fam2656,1,1,1,1,1,1,1,1,1,1
fam2657,1,1,1,1,1,1,1,1,1,1
fam2658,1,1,1,1,0,1,0,0,1,2
fam2659,1,1,1,1,1,1,1,1,1,1
fam2660,1,1,1,0,1,1,1,1,1,1
fam2661,1,1,1,1,1,1,1,1,1,1
fam2662,1,1,1,1,1,1,1,1,1,1
fam2663,1,1,1,1,1,1,1,1,1,1
fam2664,1,1,1,1,1,1,1,1,1,1
fam2665,1,1,1,1,0,1,1,1,1,1
fam2666,1,1,1,1,1,1,1,1,1,1
fam2667,1,1,1,1,1,1,1,1,1,1
fam2668,1,1,0,1,1,0,1,1,1,1
fam2669,1,1,1,1,1,0,1,1,1,1
fam2670,1,1,1,1,1,1,1,1,1,1
fam2671,1,1,1,1,1,1,1,1,1,1
fam2672,1,1,1,1,1,1,1,1,1,1
fam2673,1,1,1,1,1,1,1,1,1,1
fam2674,1,1,1,1,1,1,1,1,1,1
fam2675,1,1,1,0,1,1,1,1,1,1
fam2676,1,1,1,1,1,1,1,1,1,1
fam2677,1,1,1,0,1,1,1,1,1,1
fam2678,1,1,1,1,1,1,1,1,0,1
fam2679,1,1,1,1,1,1,1,1,1,1
fam2680,1,1,1,1,1,1,1,1,1,1
fam2681,0,0,0,1,1,1,1,0,1,1
fam2682,1,1,1,0,1,1,1,1,1,1
fam2683,1,1,1,0,1,1,1,1,1,1
fam2684,1,1,1,1,1,1,1,1,1,1
fam2685,1,1,1,1,1,1,1,1,1,0
fam2686,1,1,1,1,1,1,1,1,1,0
fam2687,1,1,1,1,1,1,1,1,1,1
fam2688,1,1,1,1,1,1,1,1,1,1
fam2689,1,1,1,1,1,1,1,1,1,1
fam2690,1,1,1,1,1,1,1,1,0,1
fam2691,1,1,1,1,1,1,1,1,1,1
fam2692,1,1,1,1,1,1,1,1,0,1
fam2693,1,1,1,1,1,1,1,1,1,0
fam2694,1,1,1,1,1,1,1,1,1,1
fam2695,1,1,1,1,1,1,1,1,1,1
fam2696,1,1,1,1,1,1,1,1,1,1
fam2697,1,1,1,1,1,1,0,1,1,1
fam2698,1,1,1,0,2,1,1,1,0,0
fam2699,1,1,1,1,1,1,1,1,1,1
fam2700,1,1,1,1,0,1,1,1,1,1
fam2701,1,1,1,1,1,1,1,1,1,1
fam2702,1,1,1,1,1,1,1,1,1,1
fam2703,1,1,1,1,1,1,1,1,1,1
fam2704,1,1,1,0,1,1,1,1,1,1
fam2705,1,1,0,1,1,1,1,1,1,1
fam2706,1,1,1,1,1,1,1,1,1,1
fam2707,0,0,0,1,1,1,1,4,0,0
fam2708,1,1,1,1,1,1,1,1,1,1
fam2709,1,1,1,1,1,1,1,1,1,0
fam2710,1,1,1,1,0,1,1,1,3,0
fam2711,1,1,1,1,1,1,1,1,1,1
